team,dfs_points,vs_avg,pass_yards_rank,pass_td_rank,pass_20_rank,pass_40_rank,rush_yards_rank,rush_td_rank,rush_20_rank,rush_40_rank,rec_yards_rank,rec_td_rank,receptions_rank,rec_20_rank,rec_40_rank,dk_rank,fd_rank
Eagles Logo,25.1,3.2,1.0,1.0,1,1,25.0,27.0,1,16,21.0,24.0,7.0,10,25,26.0,27.0
Eagles Logo,7.3,-5.4,1.0,1.0,1,1,2.0,1.0,1,1,3.0,3.0,5.0,12,1,4.0,4.0
Eagles Logo,32.4,0.1,1.0,1.0,1,1,26.0,1.0,1,1,19.0,8.0,19.0,12,24,17.0,16.0
Steelers Logo,23.2,5.1,31.0,21.0,28,22,21.0,30.0,1,1,1.0,1.0,1.0,1,1,29.0,28.0
Steelers Logo,22.2,0.3,1.0,1.0,1,1,22.0,10.0,17,1,24.0,22.0,15.0,27,1,22.0,17.0
Steelers Logo,16.1,3.4,1.0,1.0,1,1,28.0,1.0,1,1,23.0,28.0,13.0,21,1,27.0,30.0
Steelers Logo,36.4,4.1,1.0,1.0,1,1,2.0,1.0,1,1,31.0,9.0,32.0,25,24,27.0,26.0
Seahawks Logo,17.8,-0.3,26.0,16.0,23,24,16.0,1.0,18,1,1.0,1.0,1.0,1,1,19.0,20.0
Seahawks Logo,22.2,0.3,1.0,1.0,1,1,3.0,4.0,1,1,30.0,13.0,32.0,25,26,21.0,14.0
Seahawks Logo,16.9,4.2,1.0,1.0,1,1,2.0,1.0,1,1,24.0,21.0,30.0,26,1,29.0,29.0
Seahawks Logo,30.1,-2.2,1.0,1.0,1,1,4.0,1.0,1,1,12.0,10.0,17.0,8,16,12.0,11.0
49ers Logo,16.3,-1.8,10.0,16.0,17,4,10.0,1.0,1,1,1.0,1.0,1.0,1,1,11.0,12.0
49ers Logo,21.4,-0.5,1.0,1.0,1,1,18.0,4.0,20,17,12.0,25.0,28.0,1,1,15.0,13.0
49ers Logo,13.6,0.9,1.0,1.0,1,1,24.0,1.0,1,1,14.0,21.0,14.0,14,1,17.0,17.0
49ers Logo,29.6,-2.7,1.0,1.0,1,1,10.0,1.0,1,1,16.0,6.0,18.0,24,5,10.0,10.0
Buccaneers Logo,20.9,2.8,20.0,25.0,23,14,29.0,12.0,18,1,1.0,1.0,1.0,1,1,27.0,27.0
Buccaneers Logo,22.2,0.3,1.0,1.0,1,1,4.0,12.0,27,1,31.0,13.0,20.0,30,26,20.0,20.0
Buccaneers Logo,14.6,1.9,1.0,1.0,1,1,2.0,1.0,1,1,13.0,29.0,14.0,4,1,21.0,23.0
Buccaneers Logo,30.8,-1.5,1.0,1.0,1,1,2.0,1.0,1,1,8.0,18.0,16.0,18,5,13.0,13.0
Titans Logo,16.1,-2.0,18.0,9.0,19,14,11.0,12.0,1,1,1.0,1.0,1.0,1,1,9.0,6.0
Titans Logo,30.3,8.4,1.0,1.0,1,1,30.0,32.0,1,32,17.0,13.0,17.0,11,1,29.0,31.0
Titans Logo,10.1,-2.6,1.0,1.0,1,1,2.0,1.0,1,1,8.0,4.0,12.0,4,1,9.0,9.0
Titans Logo,35.4,3.1,1.0,1.0,1,1,30.0,29.0,1,32,27.0,10.0,20.0,27,16,26.0,25.0
Commanders Logo,19.1,1.0,23.0,16.0,19,30,22.0,1.0,1,30,1.0,1.0,1.0,1,1,22.0,22.0
Commanders Logo,20.1,-1.8,1.0,1.0,1,1,13.0,12.0,1,1,25.0,1.0,11.0,11,26,11.0,11.0
Commanders Logo,13.3,0.6,1.0,1.0,1,1,2.0,1.0,1,1,26.0,15.0,9.0,28,31,15.0,18.0
Commanders Logo,34.0,1.7,1.0,1.0,1,1,31.0,1.0,1,1,18.0,23.0,13.0,8,27,22.0,23.0
