team,dfs_points,vs_avg,pass_yards_rank,pass_td_rank,pass_20_rank,pass_40_rank,rush_yards_rank,rush_td_rank,rush_20_rank,rush_40_rank,rec_yards_rank,rec_td_rank,receptions_rank,rec_20_rank,rec_40_rank,dk_rank,fd_rank
Dolphins Logo,30.1,-2.4,1.0,1.0,1,1,28.0,1.0,1,1,5.0,22.0,6.0,3,1,12.0,12.0
Vikings Logo,12.5,-5.0,3.0,1.0,2,1,15.0,17.0,1,1,1.0,1.0,1.0,1,1,3.0,2.0
Vikings Logo,18.1,-2.5,1.0,1.0,1,1,23.0,4.0,18,1,13.0,1.0,13.0,1,1,9.0,10.0
Vikings Logo,11.3,-0.5,1.0,1.0,1,1,1.0,1.0,1,1,17.0,10.0,21.0,10,1,18.0,16.0
Vikings Logo,19.4,-13.1,1.0,1.0,1,1,20.0,1.0,1,1,2.0,1.0,1.0,12,1,1.0,1.0
Patriots Logo,16.6,-0.9,30.0,18.0,32,10,2.0,1.0,1,1,1.0,1.0,1.0,1,1,16.0,18.0
Patriots Logo,21.3,0.7,1.0,1.0,1,1,2.0,16.0,1,1,28.0,21.0,28.0,15,1,20.0,16.0
Patriots Logo,9.7,-2.1,1.0,1.0,1,1,1.0,1.0,1,1,23.0,1.0,8.0,30,1,9.0,10.0
Patriots Logo,36.1,3.6,1.0,1.0,1,1,25.0,1.0,1,1,26.0,22.0,13.0,28,14,25.0,25.0
Saints Logo,19.2,1.7,14.0,29.0,13,28,12.0,1.0,1,1,1.0,1.0,1.0,1,1,25.0,26.0
Saints Logo,24.6,4.0,1.0,1.0,1,1,18.0,16.0,1,21,19.0,31.0,20.0,1,1,27.0,26.0
Saints Logo,12.5,0.7,1.0,1.0,1,1,1.0,1.0,1,1,19.0,10.0,21.0,24,1,19.0,19.0
Saints Logo,32.4,-0.1,1.0,1.0,1,1,1.0,1.0,1,1,15.0,22.0,10.0,12,30,17.0,19.0
Giants Logo,17.8,0.3,31.0,11.0,13,1,25.0,1.0,1,1,1.0,1.0,1.0,1,1,20.0,21.0
Giants Logo,26.3,5.7,1.0,1.0,1,1,28.0,29.0,18,21,18.0,1.0,17.0,1,1,29.0,29.0
Giants Logo,13.7,1.9,1.0,1.0,1,1,1.0,1.0,1,1,18.0,10.0,28.0,1,1,21.0,20.0
Giants Logo,43.8,11.3,1.0,1.0,1,1,30.0,29.0,1,1,31.0,14.0,32.0,24,1,31.0,31.0
Jets Logo,18.4,0.9,13.0,18.0,30,1,29.0,1.0,25,32,1.0,1.0,1.0,1,1,22.0,23.0
Jets Logo,20.6,0.0,1.0,1.0,1,1,20.0,16.0,1,21,10.0,21.0,9.0,15,1,16.0,21.0
Jets Logo,10.5,-1.3,1.0,1.0,1,1,1.0,1.0,1,1,6.0,10.0,17.0,1,1,13.0,12.0
Jets Logo,34.5,2.0,1.0,1.0,1,1,9.0,29.0,1,1,24.0,14.0,6.0,32,1,23.0,23.0
Eagles Logo,15.2,-2.3,7.0,5.0,10,24,19.0,17.0,25,1,1.0,1.0,1.0,1,1,10.0,9.0
Eagles Logo,19.9,-0.7,1.0,1.0,1,1,22.0,16.0,1,21,3.0,21.0,2.0,1,1,13.0,19.0
Eagles Logo,6.6,-5.2,1.0,1.0,1,1,1.0,1.0,1,1,4.0,1.0,5.0,10,1,4.0,3.0
Eagles Logo,32.3,-0.2,1.0,1.0,1,1,24.0,1.0,1,1,17.0,7.0,19.0,12,25,16.0,17.0
Steelers Logo,23.5,6.0,27.0,18.0,25,10,26.0,29.0,1,1,1.0,1.0,1.0,1,1,28.0,28.0
Steelers Logo,21.0,0.4,1.0,1.0,1,1,24.0,16.0,18,1,23.0,1.0,4.0,29,1,17.0,17.0
Steelers Logo,18.8,7.0,1.0,1.0,1,1,26.0,1.0,1,1,27.0,31.0,23.0,24,1,32.0,32.0
Steelers Logo,32.4,-0.1,1.0,1.0,1,1,2.0,1.0,1,1,20.0,7.0,25.0,12,14,17.0,15.0
Seahawks Logo,15.6,-1.9,17.0,17.0,9,23,13.0,1.0,23,1,1.0,1.0,1.0,1,1,12.0,14.0
Seahawks Logo,21.2,0.6,1.0,1.0,1,1,11.0,1.0,1,1,31.0,19.0,30.0,27,27,18.0,14.0
Seahawks Logo,18.1,6.3,1.0,1.0,1,1,1.0,1.0,1,1,24.0,30.0,31.0,22,1,31.0,30.0
Seahawks Logo,23.4,-9.1,1.0,1.0,1,1,5.0,1.0,1,1,4.0,5.0,9.0,3,12,3.0,3.0
49ers Logo,13.8,-3.7,4.0,11.0,5,10,18.0,1.0,1,1,1.0,1.0,1.0,1,1,5.0,6.0
49ers Logo,16.4,-4.2,1.0,1.0,1,1,14.0,4.0,18,1,4.0,1.0,25.0,1,1,7.0,8.0
49ers Logo,12.9,1.1,1.0,1.0,1,1,26.0,1.0,1,1,10.0,26.0,17.0,1,1,20.0,21.0
49ers Logo,25.9,-6.6,1.0,1.0,1,1,8.0,1.0,1,1,8.0,7.0,11.0,12,14,6.0,5.0
Buccaneers Logo,19.6,2.1,18.0,11.0,19,10,28.0,17.0,1,1,1.0,1.0,1.0,1,1,26.0,24.0
Buccaneers Logo,23.4,2.8,1.0,1.0,1,1,3.0,4.0,18,1,32.0,21.0,29.0,32,28,23.0,23.0
Buccaneers Logo,8.2,-3.6,1.0,1.0,1,1,1.0,1.0,1,1,7.0,1.0,10.0,1,1,6.0,6.0
Buccaneers Logo,29.0,-3.5,1.0,1.0,1,1,2.0,1.0,1,1,7.0,14.0,13.0,7,1,8.0,9.0
Titans Logo,14.6,-2.9,18.0,11.0,19,10,7.0,1.0,1,1,1.0,1.0,1.0,1,1,8.0,8.0
Titans Logo,27.3,6.7,1.0,1.0,1,1,30.0,31.0,1,31,4.0,1.0,9.0,1,1,30.0,30.0
Titans Logo,10.2,-1.6,1.0,1.0,1,1,1.0,1.0,1,1,11.0,10.0,8.0,10,1,10.0,13.0
Titans Logo,40.9,8.4,1.0,1.0,1,1,32.0,29.0,1,32,29.0,14.0,28.0,24,14,29.0,28.0
Commanders Logo,19.0,1.5,24.0,18.0,19,28,16.0,1.0,1,1,1.0,1.0,1.0,1,1,24.0,25.0
Commanders Logo,13.7,-6.9,1.0,1.0,1,1,7.0,4.0,1,1,4.0,1.0,2.0,1,1,4.0,5.0
Commanders Logo,13.8,2.0,1.0,1.0,1,1,1.0,1.0,1,1,28.0,10.0,10.0,24,31,22.0,24.0
Commanders Logo,36.5,4.0,1.0,1.0,1,1,31.0,1.0,1,1,23.0,22.0,12.0,20,25,26.0,26.0
