Name,Stat,Line,Odds,Array,Temp,Size,Avg,Diff,Rel Diff,Percent,Sample Size,Score,GameId
T.J. McConnell,PG,IND,NYK,Pts+Asts,10.5,standard,"[8, 22, 21, 22, 7, 25, 12, 19, 19, 12, 9, 13, 12, 14, 15, 9, 12]","[12, 14, 15, 9, 12]",14,17,14.765,12.4,4.265,0.275,40.616,17,3.912,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Pts+Rebs+Asts,13.5,standard,"[8, 26, 22, 26, 10, 29, 12, 21, 21, 14, 9, 14, 16, 16, 18, 9, 17]","[16, 16, 18, 9, 17]",13,17,16.941,15.2,3.441,0.186,25.49,17,3.866,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Karl-Anthony Towns,C,NYK,IND,Pts+Rebs,36.5,demon,"[52, 36, 39, 52, 47, 27, 39, 36, 37]","[47, 27, 39, 36, 37]",7.0,9,40.556,37.2,4.056,0.098,11.111,9,2.24,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Landry Shamet,SF,NYK,IND,Points,4.5,demon,"[11, 3, 3, 5]","[1, 0, 3, 3, 5]",3,4,5.5,2.4,1.0,0.105,22.222,4,1.167,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Landry Shamet,SF,NYK,IND,Turnovers,0.5,demon,"[0, 1, 0, 1]","[0, 0, 1, 0, 1]",3,4,0.5,0.4,0.0,0.0,0.0,4,1.177,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Myles Turner,C,IND,NYK,Assists,1.5,demon,"[2, 1, 4, 3, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 3, 1, 2]","[2, 1, 3, 1, 2]",13.0,17,1.824,1.8,0.324,0.05,21.569,17,3.836,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Assists,1.5,demon,"[3, 4, 3, 0, 1, 2, 2, 1, 2, 1, 0]","[2, 1, 2, 1, 0]",8.5,11,1.727,1.2,0.227,0.035,15.152,11,2.612,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Andrew Nembhard,SG,IND,NYK,3-PT Made,0.5,goblin,"[2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 0, 0, 2, 2, 0, 1, 0]","[2, 2, 0, 1, 0]",15.0,17,1.118,1.0,0.618,0.112,123.529,17,3.904,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Ben Sheppard,SG,IND,NYK,Pts+Rebs,4.5,goblin,"[0, 11, 10, 11, 6, 13, 6, 8, 9, 4, 4, 12, 0, 6, 6, 5, 11]","[0, 6, 6, 5, 11]",15.0,17,7.176,5.6,2.676,0.282,59.477,17,3.939,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Ben Sheppard,SG,IND,NYK,Pts+Rebs+Asts,4.5,goblin,"[0, 12, 12, 12, 7, 13, 8, 8, 12, 4, 5, 12, 1, 7, 6, 5, 12]","[1, 7, 6, 5, 12]",15.5,17,8.0,6.2,3.5,0.368,77.778,17,3.973,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
